SECCION,COORD.,COLONIA,Lista Hombres,Lista Mujeres,% MUJERES LISTA NOMINAL,"LISTA
NOMINAL",% DE CONTRIBUCIÓN DE LISTA NOMINAL- PESO ELECTORAL,"RENTABILIDAD - PESO ELECTORAL
(ALTA: las que representan el 60% de contribución
MEDIA: 20%-40%
BAJA: 0%-20%)",Cantidad de casillas 2024,Cantidad de ubicaciones  Casillas,Total de la Lista Nominal 2024,Total de votos 2024,% Participación ciudadana 20212,Hector Castillo,%HC,Jesus Nava,%JN,Roberto Espinoza (Morena),%RE,Verde3,PT4,PES5,VIDA,Candidaturas NO registradas6,Votos Nulos7,Ganar,ganador1,VotosGanador,Diferencia
2039,CZ11 ABRAHAM RODRIGUEZ MORENO,"COOPERATIVA UNION DEL NOROESTE
EL ESCORIAL
LABORES NUEVAS
LAS PALMAS
PRIVADA SAN ANTONIO
PRO VIVIENDA DEL PONIENTE 4 SECTOR
SARABIA
SENDEROS
TEPEYAC",1699,1797,0.514016018,3503,0.014845107,Alta,5,1,3503,1798,0.513274336,616,0.342602892,713,0.396551724,277,0.154060067,48,34,15,14,1,80,GANADO,Jesus Nava,713,0.053948832
2786,CZ13 CARLOS ALBERTO ALANIS PEREZ,"HACIENDA EL PALMAR
LAS PALMAS
LOS NOGALES
MISION DE SANTA CATARINA 4TO SECTOR
PRIVADA SAN PEDRO RESIDENCIAL
PRIVADAS DEL PARQUE
RINCON DEL PONIENTE
SANTA CATARINA
SARABIA",1691,1563,0.480331899,3336,0.01413739,Alta,9,3,3336,1830,0.548561151,544,0.29726776,848,0.463387978,304,0.166120219,25,26,9,22,0,52,GANADO,Jesus Nava,848,0.166120218
2797,CZ15 MARIO ALBERTO MUÑOZ URQUIZO,"PRIVADAS DE SANTA CATARINA 1ER  SECTOR
PRIVADAS DE SANTA CATARINA 2DO SECTOR
PRIVADAS DE SANTA CATARINA, SECTOR ELITE
PUERTA DE LAS MITRAS",1560,1589,0.504604636,3202,0.013569522,Alta,5,1,3202,2059,0.643035603,750,0.364254492,993,0.482272948,198,0.096163186,23,23,10,19,1,42,GANADO,Jesus Nava,993,0.118018456
2793,CZ14 JOSE FRANCISCO REYNA AGUIRRE,"ARROYO EL OBISPO
BOSQUES LA HUASTECA
REGIO PARQUE INDUSTRIAL
VILLALTA",1596,1543,0.491557821,3237,0.013717845,Alta,5,1,3237,1754,0.541859747,572,0.326111745,863,0.492018244,228,0.129988597,27,15,8,17,0,24,GANADO,Jesus Nava,863,0.165906499
2796,CZ15 MARIO ALBERTO MUÑOZ URQUIZO,"ARROYO EL OBISPO
DEL PONIENTE KALOS
LA PUERTA
PRIVADAS DE SANTA CATARINA 2DO SECTOR
PUERTA DE LAS MITRAS
RDCIAL SANTA  CATARINA 1ER, 2DO, 3ER Y 4TO SECTOR",1567,1508,0.490406504,3119,0.013217782,Alta,5,1,3119,1817,0.582558512,656,0.361034673,792,0.435883324,265,0.145844799,30,14,7,14,2,37,GANADO,Jesus Nava,792,0.074848651
2911,CZ11 ABRAHAM RODRIGUEZ MORENO,"COOPERATIVA UNION DEL NOROESTE
CUAUHTEMOC
HACIENDA SAN JOSE
INDUSTRIAL UNIDAD NACIONAL
LA JOYA
RDCIAL CUAUHTEMOC",1407,1441,0.505969101,2889,0.012243082,Alta,4,1,2889,1906,0.659743856,746,0.391395593,873,0.458027282,170,0.089192025,23,25,9,11,1,48,GANADO,Jesus Nava,873,0.066631689
2971,CZ17 HECTOR REYNALDO REYNA LARA,"CORDILLERAS DEL VIRREY
RDCIAL DE LA SIERRA SECTOR LOMAS",1443,1371,0.487206823,2875,0.012183752,Alta,4,1,2875,1477,0.51373913,409,0.276912661,652,0.441435342,270,0.182802979,71,22,15,12,0,26,GANADO,Jesus Nava,652,0.164522681
2788,CZ14 JOSE FRANCISCO REYNA AGUIRRE,"BOSQUES LA HUASTECA
HACIENDA EL PALMAR",1397,1341,0.489773557,2791,0.011827775,Alta,4,1,2791,1430,0.512361161,477,0.333566434,621,0.434265734,238,0.166433566,22,29,8,13,1,21,GANADO,Jesus Nava,621,0.1006993
2967,CZ17 HECTOR REYNALDO REYNA LARA,"CUMBRES DE SANTA CATARINA 1ER SECTOR
CUMBRES DE SANTA CATARINA 2DO SECTOR
CUMBRES DE SANTA CATARINA 3ER SECTOR
CUMBRES DE SANTA CATARINA 4TO SECTOR
DEL PONIENTE KALOS
LA PUERTA
LAS ANACUAS
LAS ANACUAS
PRADOS DE SANTA CATARINA
PUERTA DEL SOL
PUERTA DEL SOL
SANTA CECILIA RDCIAL II",1295,1325,0.505725191,2639,0.011183625,Alta,4,1,2639,1555,0.589238348,499,0.320900322,704,0.452733119,213,0.136977492,24,29,7,20,0,59,GANADO,Jesus Nava,704,0.131832797
2968,CZ17 HECTOR REYNALDO REYNA LARA,"CUMBRES DE SANTA CATARINA 2DO SECTOR
CUMBRES DE SANTA CATARINA 3ER SECTOR
CUMBRES DE SANTA CATARINA 4TO SECTOR
RDCIAL DE LA SIERRA
RDCIAL DE LA SIERRA SECTOR LOMAS",1271,1348,0.514700267,2640,0.011187863,Alta,4,1,2640,1563,0.592045455,457,0.292386436,692,0.442738324,271,0.173384517,20,52,9,16,0,46,GANADO,Jesus Nava,692,0.150351888
2001,CZ2 OSWALDO PARTIDA CORTES,"LAS SOMBRILLAS
SAN GILBERTO",1204,1204,0.5,2431,0.010302157,Alta,4,1,2431,1004,0.412998766,285,0.283864542,332,0.330677291,247,0.246015936,37,30,4,8,1,60,GANADO,Jesus Nava,332,0.046812749
2011,CZ7 JOEL TORRES VAZQUEZ,"ARBOLEDAS DE LAS MITRAS (CARLOS SALINAS DE GORTARI)
FAMA III
LOMAS DE LA FAMA
VALLES DE LAS MITRAS (AMPLIACION CARLOS SALINAS DE GORTARI)",1186,1220,0.507065669,2433,0.010310633,Alta,4,1,2433,1000,0.411015208,355,0.355,324,0.324,204,0.204,33,33,1,8,0,42,PERDIDO,Hector Castillo,355,0.031
2068,CZ21 ALEJANDRO MEDRANO GARCIA,"CENTRO DE SANTA CATARINA
RINCON DE LA HUASTECA
SAN GREGORIO
VIRGINIA TAFICH DE CANAVATI",1204,1185,0.496023441,2414,0.010230114,Alta,4,1,2414,1438,0.595691798,424,0.294853964,671,0.466620306,206,0.14325452,26,34,25,14,0,38,GANADO,Jesus Nava,671,0.171766342
2050,CZ17 HECTOR REYNALDO REYNA LARA,Hacienda Santa Catarina,1114,1122,0.501788909,2266,0.009602916,Alta,4,1,2266,1009,0.445278023,311,0.308225966,340,0.336967294,226,0.223984143,30,17,2,4,0,79,GANADO,Jesus Nava,340,0.028741328
2046,CZ18 MARIO ALBERTO MIRELES FRIAS,"ANTIGUA SANTA CATARINA
DEL PONIENTE KALOS
MARTEL
PUERTA DEL SOL
PUERTA DEL SOL
ZIMIX",1126,1088,0.491418248,2220,0.009407976,Alta,3,1,2220,1071,0.482432432,316,0.295051354,438,0.408963585,211,0.197012138,19,26,9,10,0,42,GANADO,Jesus Nava,438,0.113912231
2014,CZ8 HUGO EDUARDO CASTILLO GARAY,Fama III,1094,1092,0.499542543,2203,0.009335933,Alta,3,1,2203,1089,0.494325919,343,0.31496786,338,0.310376492,234,0.214876033,29,37,3,19,1,85,PERDIDO,Hector Castillo,343,0.004591368
2010,CZ7 JOEL TORRES VAZQUEZ,"ARBOLEDAS DE LAS MITRAS (CARLOS SALINAS DE GORTARI)
FAMA III
LOMAS DE LA FAMA",1099,1050,0.488599349,2161,0.009157944,Alta,3,3,2161,923,0.427117075,318,0.344528711,324,0.351029252,172,0.186348862,33,27,3,7,1,38,GANADO,Jesus Nava,324,0.006500541
2058,CZ9 BRENDA YANETH ESPINOZA RIVAS,"JOSE LOPEZ PORTILLO
PRO VIVIENDA DEL PONIENTE 1 SECTOR
SANTA MAGDALENA
UNION DE COLONOS",1115,1011,0.475540922,2151,0.009115566,Alta,4,2,2151,1126,0.523477452,394,0.34991119,314,0.278863233,260,0.230905861,15,65,7,7,0,64,PERDIDO,Hector Castillo,394,0.071047957
2914,CZ19 JUAN LUIS GUERRA MARES,"BOSQUES DEL PONIENTE
CENTRO DE SANTA CATARINA
EL LECHUGAL
INDUSTRIAS DEL PONIENTE
MARCO
PRIVADA GRANADAS
PRIVADA LA ESCONDIDA I
PRIVADA LA ESCONDIDA II
PRIVADA LOS ANGELES
VILLAS DE LA HUASTECA
VILLAS DEL PONIENTE II",1050,1074,0.505649718,2132,0.009035047,Alta,6,2,2132,1582,0.742026266,771,0.487357775,636,0.402022756,93,0.058786346,14,12,26,5,2,23,PERDIDO,Hector Castillo,771,0.085335019
2966,CZ17 HECTOR REYNALDO REYNA LARA,"LAS ANACUAS
PRADOS DE SANTA CATARINA
RDCIAL ROBLES",1019,1004,0.496292635,2023,0.008573124,Alta,3,1,2023,1147,0.566979733,390,0.340017437,509,0.443766347,169,0.147340889,19,25,6,9,0,20,GANADO,Jesus Nava,509,0.10374891
2007,CZ8 HUGO EDUARDO CASTILLO GARAY,RINCON DE LAS MITRAS (FOMERREY 2),1005,1013,0.501982161,2022,0.008568886,Alta,3,1,2022,847,0.418892186,277,0.3270366,232,0.27390791,195,0.230224321,32,25,5,10,0,71,PERDIDO,Hector Castillo,277,0.05312869
2015,CZ8 HUGO EDUARDO CASTILLO GARAY,"CIMAS DEL PONIENTE
EUGENIO CANAVATI
FAMA III
PASEO DE LAS MINAS",1031,982,0.487829111,2029,0.008598551,Alta,3,1,2029,974,0.480039428,305,0.313141684,281,0.288501027,228,0.234086242,40,23,6,10,1,80,PERDIDO,Hector Castillo,305,0.024640657
2912,CZ11 ABRAHAM RODRIGUEZ MORENO,"CUAUHTEMOC
INDUSTRIAL GOSSLER PERK
INDUSTRIAL MONTE DE LOS OLIVOS
INDUSTRIAL UNIDAD NACIONAL",975,1035,0.514925373,2027,0.008590075,Alta,3,1,2027,1224,0.603848051,411,0.335784314,511,0.41748366,199,0.162581699,24,21,4,14,1,39,GANADO,Jesus Nava,511,0.081699346
2051,CZ17 HECTOR REYNALDO REYNA LARA,HACIENDA SANTA CATARINA (FOMERREY 29),1035,972,0.484304933,2018,0.008551935,Alta,3,1,2018,959,0.475222993,254,0.264859228,283,0.295099062,272,0.28362878,40,26,5,12,1,66,GANADO,Jesus Nava,283,0.030239834
2916,CZ21 ALEJANDRO MEDRANO GARCIA,"27 DE MAYO
PRIVADA SAN PATRICIO
RDCIAL LA HUASTECA
SANTA CATALINA",996,937,0.484738748,1952,0.008272238,Media,3,1,1952,1101,0.564036885,394,0.357856494,461,0.418710263,144,0.130790191,23,11,20,9,0,39,GANADO,Jesus Nava,461,0.060853769
2077,CZ22 BLANCA ISABEL CERECERO OVIEDO,"LA HUASTECA
PEDREGAL DE LA HUASTECA
PEDREGAL VALLE PTE
PRIVADA MONTEJO
VISTAS DE LA  HUASTECA",960,969,0.502332815,1962,0.008314616,Media,3,1,1962,1186,0.604485219,487,0.410623946,435,0.366779089,139,0.117200675,20,22,10,11,0,62,PERDIDO,Hector Castillo,487,0.043844857
2018,CZ9 BRENDA YANETH ESPINOZA RIVAS,RINCON DE LAS MITRAS (FOMERREY 2),970,914,0.485138004,1895,0.008030682,Media,3,1,1895,888,0.468601583,301,0.338963964,262,0.295045045,198,0.222972973,35,18,9,8,1,56,PERDIDO,Hector Castillo,301,0.043918919
2075,CZ22 BLANCA ISABEL CERECERO OVIEDO,"27 DE MAYO
ENRIQUE RANGEL
PRIVADA VALLE PONIENTE
PRIVADAS SIERRA MADRE RDCIAL
SANTA CATARINA
VILLAS DE LA HUASTECA",919,961,0.511170213,1910,0.008094249,Media,3,1,1910,1220,0.638743455,432,0.354098361,514,0.421311475,178,0.145901639,27,11,10,6,1,41,GANADO,Jesus Nava,514,0.067213114
2064,CZ10 MARISOL  REYNA CASTILLO,"BENITO JUAREZ 1ERY 2DO SECTOR
EFIMEC
HUASTECA DEL VALLE II
JOSE MARIA MORELOS
LA CAMPANIA 1ER Y 2DO SECTOR
LA ESPAÑOLA
LA FAMA",957,915,0.488782051,1893,0.008022206,Media,4,2,1893,987,0.521394612,303,0.306990881,376,0.380952381,193,0.195542047,27,22,8,9,0,49,GANADO,Jesus Nava,376,0.0739615
2071,CZ21 ALEJANDRO MEDRANO GARCIA,"LAZARO CARDENAS
NUEVA SANTA CATARINA
RDCIAL PANORAMICA",895,970,0.520107239,1878,0.007958639,Media,3,1,1878,1086,0.57827476,388,0.357274401,420,0.386740331,166,0.152854512,22,23,14,8,1,44,GANADO,Jesus Nava,420,0.02946593
2060,CZ9 BRENDA YANETH ESPINOZA RIVAS,"FAMA IV
FAMA V
INDECO LA FAMA 1
JARDIN DE LAS MITRAS (FOMERREY 17)",946,878,0.481359649,1851,0.007844217,Media,3,1,1851,1024,0.553214479,394,0.384765625,354,0.345703125,165,0.161132813,34,27,4,6,0,40,PERDIDO,Hector Castillo,394,0.0390625
2052,CZ17 HECTOR REYNALDO REYNA LARA,HACIENDA SANTA CATARINA (FOMERREY 29),918,902,0.495604396,1841,0.007801839,Media,3,3,1841,860,0.467137425,173,0.201162791,235,0.273255814,328,0.381395349,28,34,3,2,0,57,PERDIDO,Roberto Espinoza,#N/D,0.072093023
2004,CZ5 JUAN JESUS NAVARRO LOPEZ,MARTIRES DE CANANEA,865,922,0.515948517,1819,0.007708607,Media,3,1,1819,1072,0.589334799,409,0.381529851,378,0.35261194,175,0.163246269,29,28,6,7,0,40,PERDIDO,Hector Castillo,409,0.028917911
2065,CZ10 MARISOL  REYNA CASTILLO,"BENITO JUAREZ 1ERY 2DO SECTOR
JOSE MARIA MORELOS
LA CAMPANIA 1ER Y 2DO SECTOR
MONTENEGRO
PROTEXA 1ER Y 2DO SECTOR",856,891,0.510017172,1735,0.00735263,Media,3,1,1735,1135,0.654178674,420,0.370044053,468,0.412334802,143,0.125991189,20,25,15,8,1,35,GANADO,Jesus Nava,468,0.042290749
2792,CZ14 JOSE FRANCISCO REYNA AGUIRRE,BOSQUES LA HUASTECA,849,861,0.503508772,1749,0.007411959,Media,3,1,1749,864,0.493996569,276,0.319444444,392,0.453703704,146,0.168981481,15,5,3,4,0,23,GANADO,Jesus Nava,392,0.13425926
2033,CZ2 OSWALDO PARTIDA CORTES,SAN GILBERTO,864,845,0.494441194,1728,0.007322965,Media,3,3,1728,792,0.458333333,200,0.252525253,247,0.311868687,210,0.265151515,29,42,5,8,1,50,GANADO,Jesus Nava,247,0.059343434
2032,CZ4 JOSE LUIS GAMEZ PEREZ,"LOMAS DEL PONIENTE 1ER SECTOR
LOMAS DEL PONIENTE 2DO SECTOR
SAN GILBERTO",860,838,0.49352179,1712,0.00725516,Media,3,1,1712,849,0.495911215,319,0.37573616,267,0.314487633,156,0.183745583,27,28,4,9,0,39,PERDIDO,Hector Castillo,319,0.061248527
2070,CZ20 MARIA DEL SOCORRO ESCAMILLA ALANIS,"MIRADOR DE SANTA CATARINA (FOMERREY 137)
SANTA MARTHA 1ER SECTOR
SANTA MARTHA 2DO SECTOR",844,835,0.497319833,1687,0.007149214,Media,3,1,1687,779,0.461766449,222,0.284980745,299,0.383825417,133,0.170731707,26,27,13,7,0,52,GANADO,Jesus Nava,299,0.098844672
2066,CZ10 MARISOL  REYNA CASTILLO,"BALCONES A LA HUASTECA
EL BLANQUEO
EL LECHUGAL
JOSE MARIA MORELOS
MONTENEGRO
PROTEXA 1ER Y 2DO SECTOR",815,863,0.514302741,1700,0.007204306,Media,3,1,1700,1054,0.62,398,0.377609108,428,0.406072106,129,0.122390892,19,21,13,10,0,36,GANADO,Jesus Nava,428,0.028462998
