SECCION,COORD.,COLONIA,Lista Hombres,Lista Mujeres,% MUJERES LISTA NOMINAL,"LISTA
NOMINAL",% DE CONTRIBUCIÓN DE LISTA NOMINAL- PESO ELECTORAL,"RENTABILIDAD - PESO ELECTORAL
(ALTA: las que representan el 60% de contribución
MEDIA: 20%-40%
BAJA: 0%-20%)",Cantidad de casillas 2024,Cantidad de ubicaciones  Casillas,Total de la Lista Nominal 2024,Total de votos 2024,% Participación ciudadana 20212,Hector Castillo,%HC,Jesus Nava,%JN,Roberto Espinoza (Morena),%RE,Verde3,PT4,PES5,VIDA,Candidaturas NO registradas6,Votos Nulos7,Ganar,ganador1,VotosGanador,Diferencia
2013,CZ8 HUGO EDUARDO CASTILLO GARAY,FAMA II,691,750,0.520471895,1451,0.006149087,Baja,2,1,1451,898,0.618883529,374,0.416481069,298,0.331848552,142,0.158129176,21,16,3,6,0,38,PERDIDO,Hector Castillo,374,0.084632517
2036,CZ1 EFRAIN GARCIA SANDOVAL,RINCON DEL PONIENTE,696,714,0.506382979,1431,0.00606433,Baja,2,1,1431,798,0.557651992,291,0.364661654,298,0.373433584,134,0.167919799,16,25,6,3,0,25,GANADO,Jesus Nava,298,0.00877193
2074,CZ22 BLANCA ISABEL CERECERO OVIEDO,"COLONIA
UNIDAD HABITACIONAL
UNIDAD HABITACIONAL
UNIDAD HABITACIONAL",689,717,0.509957326,1422,0.00602619,Baja,2,1,1422,900,0.632911392,293,0.325555556,405,0.45,135,0.15,13,11,8,2,1,32,GANADO,Jesus Nava,405,0.124444444
2037,CZ1 EFRAIN GARCIA SANDOVAL,RINCON DEL PONIENTE,721,675,0.483524355,1412,0.005983812,Baja,2,2,1412,747,0.529036827,271,0.362784471,316,0.423025435,103,0.137884873,26,10,3,5,0,13,GANADO,Jesus Nava,316,0.060240964
2078,CZ22 BLANCA ISABEL CERECERO OVIEDO,"ENRIQUE RANGEL
LA HUASTECA
PRIVADAS SIERRA MADRE RDCIAL
SANTA CATARINA",696,690,0.497835498,1391,0.005894817,Baja,2,1,1391,848,0.609633357,255,0.300707547,347,0.409198113,170,0.200471698,15,8,9,6,0,38,GANADO,Jesus Nava,347,0.108490566
2029,CZ4 JOSE LUIS GAMEZ PEREZ,ADOLFO LOPEZ MATEOS,655,729,0.526734104,1401,0.005937195,Baja,2,1,1401,921,0.65738758,377,0.409337676,307,0.333333333,124,0.134636265,16,37,4,5,2,49,PERDIDO,Hector Castillo,377,0.076004343
2030,CZ4 JOSE LUIS GAMEZ PEREZ,ADOLFO LOPEZ MATEOS,665,719,0.519508671,1386,0.005873628,Baja,2,1,1386,902,0.650793651,370,0.410199557,288,0.319290466,169,0.187361419,19,15,3,4,0,34,PERDIDO,Hector Castillo,370,0.090909091
2795,CZ15 MARIO ALBERTO MUÑOZ URQUIZO,"ARROYO EL OBISPO
DEL PONIENTE KALOS
LA PUERTA
MARFER
MARTEL
PUERTA DEL SOL
PUERTA DEL SOL
RDCIAL SANTA  CATARINA 1ER, 2DO, 3ER Y 4TO SECTOR
REGIO PARQUE INDUSTRIAL
SANTA CATARINA
UNIDAD NACIONAL 2
VILLALTA",711,673,0.486271676,1403,0.005945671,Baja,2,1,1403,825,0.588025659,261,0.316363636,417,0.505454545,89,0.107878788,14,6,1,9,2,26,GANADO,Jesus Nava,417,0.189090909
2044,CZ19 JUAN LUIS GUERRA MARES,"ARVORE
CENTRO DE SANTA CATARINA
EL MOLINO
PRIVADA SAN MIGUEL",673,700,0.509832484,1380,0.005848201,Baja,2,1,1380,897,0.65,311,0.34671126,414,0.461538462,102,0.113712375,17,4,8,4,0,37,GANADO,Jesus Nava,414,0.114827202
2970,CZ17 HECTOR REYNALDO REYNA LARA,"BALCONES DE SANTA CATARINA ( FOMERREY 134)
LUIS ECHEVERRIA",693,659,0.487426036,1359,0.005759207,Baja,2,1,1359,666,0.490066225,189,0.283783784,222,0.333333333,162,0.243243243,22,21,1,5,0,44,GANADO,Jesus Nava,222,0.049549549
