LATITUD,LONGITUD
25.69696055,-100.449783
25.69652182,-100.4425339
25.70548665,-100.5092075
25.69930714,-100.513614
25.69385803,-100.4434175
25.68954931,-100.441409
25.6986753,-100.4367725
25.70636852,-100.5073132
25.6758622,-100.4787679
25.69306661,-100.4663648
25.68292389,-100.4660627
25.70861228,-100.4614105
25.70480012,-100.463778
25.70678614,-100.4583313
25.7012995,-100.458928
25.70254028,-100.4589416
25.68635884,-100.4343318
25.68691496,-100.4376781
25.6810302,-100.4249227
25.67742123,-100.4270249
25.68196581,-100.4301902
25.68217737,-100.4316964
25.6802299,-100.4313606
25.67935012,-100.4185038
25.67895971,-100.4197673
25.67955617,-100.4217561
25.68031997,-100.422594
25.69073159,-100.4180249
25.691457,-100.421552
25.68781685,-100.4188914
25.69022959,-100.4282824
25.68856247,-100.4172798
25.68849943,-100.4178831
25.69064583,-100.4275244
25.68929012,-100.4204225
25.69088597,-100.4258408
25.69009622,-100.4261329
25.68838835,-100.4209006
25.69538321,-100.4557702
25.69621664,-100.4573604
25.6936626,-100.4587884
25.69534435,-100.4600888
25.6947666,-100.4561994
25.69807285,-100.4581918
25.68637214,-100.4201757
25.68696992,-100.422326
25.68659486,-100.4274444
25.6850716,-100.4240077
25.68673757,-100.4267297
25.68841518,-100.446087
25.69143254,-100.4493751
25.66545748,-100.445265
25.66474435,-100.4370594
25.65770001,-100.4559618
25.66439019,-100.4570872
25.68259153,-100.4972095
25.68210392,-100.4974733
25.68457752,-100.4963296
25.68042781,-100.4872219
25.68030428,-100.4868747
25.67614743,-100.4799002
25.67590998,-100.4789794
25.69219812,-100.4383934
25.69165262,-100.4394672
25.68621114,-100.4418942
25.69459846,-100.4668888
25.70583879,-100.5104006
25.69364827,-100.4664124
25.6797352,-100.4659116
25.6930963,-100.4651392
25.67893849,-100.465365
25.68012074,-100.4637784
25.68790475,-100.457384
25.69047846,-100.4603472
25.68323425,-100.4416804
25.68405751,-100.4287594
25.68224529,-100.4299878
25.69420426,-100.4291031
25.69573011,-100.4278656
25.69516828,-100.4283197
25.6860488,-100.4367365
25.68740406,-100.4310556
25.68687026,-100.434476
25.68569823,-100.4347027
25.70860282,-100.4615167
25.70508272,-100.4635964
25.70377979,-100.463706
25.70184502,-100.4645528
25.7049255,-100.4592962
25.69500581,-100.4945918
25.69289162,-100.4923366
25.6944779,-100.4902787
25.66862394,-100.4321851
25.67947251,-100.4232286
25.68001899,-100.4217294
25.67985793,-100.4190657
25.69007698,-100.4250163
25.69568104,-100.4544434
25.68357478,-100.498678
25.68662919,-100.5055844
25.68641664,-100.4966898
25.65968242,-100.456069
25.66200033,-100.4588757
25.66475449,-100.4354959
25.68848978,-100.4230104
25.68826892,-100.4244853
25.68757429,-100.4255967
25.68770239,-100.4268841
25.69332062,-100.4379154
25.69955412,-100.434376
25.69010175,-100.4371813
25.68821343,-100.4381562
25.68748716,-100.4391652
25.69896123,-100.4436446
25.69765399,-100.443017
25.68791771,-100.4587091
25.6827692,-100.4880624
25.68017734,-100.4853283
25.67941849,-100.4854744
25.67968586,-100.4866289
25.68186388,-100.4878406
25.70195598,-100.5076669
25.70613831,-100.5075949
25.70272455,-100.5078991
25.7088483,-100.5080947
25.69371208,-100.4280186
25.69636074,-100.431595
25.69282479,-100.4286022
25.70261054,-100.456788
25.68629625,-100.4491711
25.68599973,-100.447732
25.682087,-100.4439216
25.67236057,-100.4734437
25.66835161,-100.4701916
25.67342196,-100.4751317
25.67096189,-100.4772011
25.67299962,-100.4739948
25.70342065,-100.5042256
25.6688607,-100.4605854
25.66843755,-100.4578702
25.66846294,-100.4628994
25.66726811,-100.4614695
25.68363614,-100.4674084
25.68295672,-100.4670634
25.69921981,-100.4605974
25.69565095,-100.4599149
25.69687567,-100.4576491
25.69687733,-100.4585823
25.69632897,-100.4573871
25.69638412,-100.4621177
25.69107966,-100.4251497
25.66651513,-100.4343751
25.66670847,-100.4329642
25.66549941,-100.4333602
25.66490968,-100.4337612
25.66251348,-100.4594051
25.66348532,-100.4607577
25.65943791,-100.4572405
25.6737337,-100.4548195
25.67073835,-100.4569585
25.67678517,-100.4958917
25.68003813,-100.4932686
25.69176456,-100.4491156
25.68977135,-100.4431664
25.68593476,-100.4231662
25.68345088,-100.4186971
25.68682525,-100.4221594
25.69526036,-100.4668676
25.69161016,-100.4615044
25.67746554,-100.4798427
25.67786929,-100.4872553
25.67688309,-100.4810116
25.67609342,-100.4810244
25.70400909,-100.5097414
25.70191836,-100.5079224
25.70211988,-100.5086391
25.70713974,-100.5093078
25.7053079,-100.5097038
25.69942655,-100.4538677
25.69454049,-100.4454479
25.6971025,-100.4550115
25.69809452,-100.4364569
25.69304516,-100.4372535
25.69865964,-100.4345901
25.68627611,-100.4406794
25.69145662,-100.4412782
25.69779482,-100.4314341
25.69779482,-100.4314341
25.69632227,-100.4295109
25.69632227,-100.4295109
25.69132014,-100.4307197
25.69132014,-100.4307197
25.68625604,-100.4306571
25.68625604,-100.4306571
25.70635927,-100.4600276
25.70635927,-100.4600276
25.70502431,-100.5007127
25.70502431,-100.5007127
25.70308218,-100.5023554
25.70308218,-100.5023554
25.70400928,-100.5007395
25.70400928,-100.5007395
25.7027656,-100.5020858
