LATITUD,LONGITUD
25.69846822,-100.4503398
25.70419719,-100.5089491
25.70317477,-100.5096395
25.70397173,-100.5102194
25.70010258,-100.4347734
25.6920991,-100.4380537
25.69019344,-100.437183
25.70161244,-100.5081163
25.70277428,-100.5078952
25.70732853,-100.5101305
25.70618111,-100.509352
25.70827661,-100.5059146
25.68888194,-100.4681175
25.67889401,-100.4888965
25.67496313,-100.4788321
25.6759807,-100.4919069
25.6809038,-100.4896687
25.68100643,-100.4874676
25.68176944,-100.4886655
25.68217994,-100.4887587
25.67426289,-100.482268
25.70729209,-100.4587877
25.7051487,-100.4586389
25.69401358,-100.4893869
25.70530371,-100.4568073
25.69454801,-100.5013059
25.69758852,-100.4310731
25.69602073,-100.4307029
25.69682392,-100.4323526
25.68595041,-100.4299735
25.68643724,-100.43517
25.68259334,-100.4322689
25.67406113,-100.4730317
25.67473235,-100.474332
25.67116186,-100.4769876
25.68159452,-100.4279977
25.67882702,-100.4311315
25.67007914,-100.4210809
25.67216849,-100.4649187
25.66748858,-100.4617537
25.66922757,-100.4586242
25.66487974,-100.4564093
25.67162884,-100.4651495
25.68512211,-100.418621
25.67758218,-100.4690592
25.68721294,-100.4200931
25.6892541,-100.4168462
25.69548095,-100.4593406
25.67949941,-100.4685046
25.68185466,-100.4185495
25.68774814,-100.4221977
25.68725376,-100.4274343
25.68704774,-100.44438
25.66664527,-100.4410821
25.66450996,-100.4563053
25.6634005,-100.4539309
25.69370913,-100.454356
25.69449212,-100.4907481
25.69449212,-100.4907481
25.69449212,-100.4907481
25.69449212,-100.4907481
25.69449212,-100.4907481
25.69449212,-100.4907481
25.69449212,-100.4907481
25.67675622,-100.4936658
25.69457303,-100.4472892
25.67488345,-100.4798557
25.67488328,-100.4796832
25.6748145,-100.4794872
25.68763404,-100.4403448
25.69172459,-100.4649314
25.70541911,-100.5096397
25.70549712,-100.5063232
25.68249297,-100.4406907
25.68292647,-100.4299185
25.70238177,-100.5046628
25.67180568,-100.4741656
25.67075423,-100.474041
25.67140695,-100.4734343
25.70588001,-100.4598775
25.66689074,-100.4613436
25.66889956,-100.4313644
25.66925831,-100.4313143
25.66961645,-100.4311908
25.68925719,-100.4287943
25.69000412,-100.4285577
25.69036235,-100.4284565
25.69383053,-100.4553561
25.66099883,-100.4588852
25.6705487,-100.4563172
25.66410374,-100.4397025
25.67194508,-100.4559033
25.67238116,-100.4558702
25.68977625,-100.4455847
25.6894902,-100.4379648
25.69241996,-100.4612866
25.69344648,-100.4648189
25.69414823,-100.465294
25.69287568,-100.427662
25.70342336,-100.4578683
25.68391494,-100.4438726
25.67392509,-100.4742451
25.70580126,-100.5035978
25.66816335,-100.4611202
25.66759446,-100.4624204
25.66655473,-100.4610527
25.67768904,-100.4658962
25.67871971,-100.4665343
25.69620386,-100.4582941
25.69761904,-100.4574575
25.69378045,-100.4259781
25.66002976,-100.4580942
25.6720339,-100.4577263
25.6775085,-100.4939501
25.68467125,-100.4225432
25.69301782,-100.4612105
25.69626009,-100.4518618
25.68672053,-100.4408719
25.66882836,-100.4698803
25.66882836,-100.4698803
25.67490016,-100.4731374
25.67490016,-100.4731374
25.68086738,-100.4257091
25.68086738,-100.4257091
25.6738339,-100.4207665
25.66911684,-100.4307772
25.69155669,-100.4178704
25.69014128,-100.4178382
25.6881431,-100.4214074
25.6966534,-100.4652256
25.6683864,-100.4665768
25.6625932,-100.4527205
25.69186398,-100.4552033
25.69377662,-100.4537281
25.69269847,-100.4522827
25.68506372,-100.4225185
25.67094158,-100.4570802
25.6899176,-100.4386406
25.68878616,-100.4388773
25.69832307,-100.4509237
25.70120629,-100.4532723
25.69079948,-100.4569029
25.68094971,-100.4875097
25.70232074,-100.5079019
25.70161808,-100.5086043
25.67962935,-100.426976
25.70425615,-100.4590424
25.70379943,-100.4566691
25.66070386,-100.4602407
25.68324524,-100.4203249
25.69499649,-100.4661592
25.67487007,-100.48238
25.67657318,-100.4816663
25.67659409,-100.4817096
25.67755826,-100.4818737
25.6823182,-100.447525
25.6820472,-100.4472854
25.7026802,-100.4589043
25.7046929,-100.4600556
25.70802035,-100.4611671
25.6771719,-100.4778032
25.67541212,-100.4774571
25.67344098,-100.4740464
25.6686879,-100.4319643
25.6874979,-100.4181682
25.6874497,-100.418994
25.6879545,-100.4192646
25.6967882,-100.4640869
25.6684394,-100.4619036
25.6694086,-100.4631653
25.66578914,-100.4637773
25.68681937,-100.4965864
25.68810747,-100.4479498
25.6593131,-100.4544473
25.6861345,-100.4268582
25.6974464,-100.4515536
25.6972801,-100.4495288
25.6824181,-100.4644176
25.6832478,-100.4678031
25.7059428,-100.5042609
25.7040057,-100.5052077
25.68337346,-100.4672509
25.68801044,-100.4196919
25.67726554,-100.4747025
25.67674335,-100.472364
25.67836823,-100.4672286
25.67758589,-100.4673664
25.68771112,-100.4178434
25.67298201,-100.4751024
25.6935074,-100.497231
25.6941615,-100.4993376
25.6941897,-100.4998471
25.68188235,-100.4273849
25.68124626,-100.4277327
25.68675485,-100.4316306
25.68699499,-100.4316088
25.70503029,-100.4597636
25.7061213,-100.4628231
25.67655635,-100.4955658
25.66364757,-100.4629304
25.68884,-100.445315
25.6636675,-100.459774
25.6627739,-100.4598259
25.6810739,-100.4887897
25.70605343,-100.5118194
25.69632078,-100.4474661
25.69204801,-100.4906035
25.6862508,-100.4308981
25.69620536,-100.4277843
25.6885389,-100.431679
25.68320997,-100.4437778
25.6816308,-100.4684497
25.67823964,-100.4681706
25.67996053,-100.4690443
25.68068794,-100.4684727
25.68546612,-100.4185234
25.6902678,-100.4253077
25.6913095,-100.4255948
25.66932533,-100.4275772
25.66853669,-100.4322003
25.68234101,-100.4993847
25.68198876,-100.4981472
25.6706935,-100.4541319
25.6912216,-100.4526293
25.6918142,-100.4528864
25.694752,-100.4506586
25.68708674,-100.4399568
25.67988717,-100.4893975
25.7026336,-100.4593231
25.70362413,-100.4562743
25.6788601,-100.4307727
25.68054466,-100.4215925
25.669582,-100.4669829
25.66897788,-100.4676271
25.69528709,-100.4946308
25.69861995,-100.4635161
25.66589237,-100.4371006
25.6655381,-100.4431542
25.68573108,-100.4281061
25.68464397,-100.4262215
25.68889,-100.4432414
25.68348182,-100.4241338
25.6884146,-100.4432228
25.6876276,-100.4445145
25.6827915,-100.4236287
25.6875238,-100.4450611
25.6874831,-100.4461828
25.6607487,-100.459528
25.6619346,-100.4614745
25.6623559,-100.4609725
25.6636195,-100.4616434
25.6624819,-100.4527099
25.70703261,-100.5085322
25.6762018,-100.4798569
25.70267902,-100.5104761
25.6946286,-100.4686021
25.69089175,-100.4375113
25.6873793,-100.4380152
25.69794036,-100.4343364
25.6899499,-100.4379915
25.6905542,-100.4376383
25.701619,-100.505024
25.70475017,-100.5010597
25.7004257,-100.5044765
25.68626086,-100.4312341
25.68589323,-100.4316157
25.68437684,-100.4316552
25.7050914,-100.4582218
25.7037477,-100.4571927
