LATITUD,LONGITUD
25.69650967,-100.4471063
25.70590167,-100.5102811
25.70466902,-100.509819
25.70167063,-100.5093969
25.6982197,-100.4558742
25.70719577,-100.5117277
25.70708246,-100.5108719
25.69823271,-100.4331492
25.68887873,-100.4405501
25.68559367,-100.4410871
25.68458893,-100.445063
25.6884329,-100.4409981
25.68793004,-100.4409459
25.7019702,-100.5081991
25.70709201,-100.505257
25.70549336,-100.5044491
25.70585358,-100.5078315
25.70497511,-100.5065845
25.69537612,-100.4668886
25.69070458,-100.4679224
25.69421033,-100.4643741
25.69363725,-100.4663339
25.69285024,-100.4659639
25.69206168,-100.4651568
25.6788932,-100.4901524
25.69062499,-100.4685103
25.67998832,-100.4871107
25.6761878,-100.4915473
25.67491715,-100.4804945
25.6773786,-100.4898423
25.68170151,-100.4658278
25.69525115,-100.4667045
25.69483175,-100.4646557
25.68012663,-100.4636842
25.68038968,-100.4621073
25.70340284,-100.4634495
25.70812171,-100.4597328
25.70567495,-100.4628718
25.70060705,-100.5062695
25.69331515,-100.4903924
25.6942532,-100.4915813
25.67525932,-100.4781936
25.68749323,-100.4317625
25.68744466,-100.4365172
25.68443672,-100.4317936
25.66939911,-100.468859
25.66967877,-100.4700487
25.67165729,-100.4777041
25.68229137,-100.4283002
25.6807204,-100.4254556
25.6798964,-100.430126
25.67954354,-100.4260941
25.67925404,-100.4293267
25.68381321,-100.429293
25.68403807,-100.4278348
25.66768098,-100.4308629
25.66688816,-100.4300176
25.66560174,-100.4340876
25.67252152,-100.4242197
25.66850306,-100.4556714
25.66677199,-100.4623082
25.66611315,-100.4555307
25.66789305,-100.4244552
25.67080628,-100.4243119
25.67187182,-100.4260505
25.6904371,-100.4192569
25.69603886,-100.4596582
25.69394305,-100.4597841
25.69419392,-100.4570209
25.67734182,-100.467981
25.68420261,-100.4240168
25.69125536,-100.4484059
25.69275065,-100.4481419
25.69622333,-100.4539961
25.6876096,-100.4449452
25.66288392,-100.4569186
25.69365415,-100.4543627
25.69190858,-100.4541102
25.69195528,-100.4478421
25.67697314,-100.4955526
25.68327388,-100.4969491
25.70180062,-100.4539802
25.67651644,-100.4816529
25.69364131,-100.4445132
25.69664554,-100.450979
25.69582781,-100.450761
25.69318738,-100.4373682
25.6924173,-100.4375266
25.69886276,-100.4363118
25.68978926,-100.4412168
25.69092587,-100.4376162
25.6877113,-100.4415101
25.69215957,-100.4606061
25.69183516,-100.4579009
25.68894231,-100.4586928
25.68777826,-100.4551484
25.70200752,-100.5023791
25.6824863,-100.4319327
25.68215441,-100.4295107
25.68159385,-100.4235026
25.70294876,-100.5036698
25.68179977,-100.4247242
25.68197713,-100.4266207
25.68356923,-100.4275969
25.68233296,-100.4286509
25.70309871,-100.5044291
25.70260343,-100.5049618
25.67168781,-100.4776748
25.67175677,-100.4758745
25.67164521,-100.4728851
25.7085067,-100.46176
25.70826608,-100.4602186
25.70362396,-100.459926
25.69361463,-100.4944467
25.69498887,-100.4958013
25.6674238,-100.4667912
25.66750861,-100.4628551
25.66690034,-100.4604753
25.6663916,-100.4624159
25.66969569,-100.4286992
25.668404,-100.4292213
25.66865655,-100.4278953
25.67937585,-100.4187771
25.69033849,-100.4276101
25.69397237,-100.4541322
25.6818421,-100.5005364
25.6846951,-100.4987247
25.68594812,-100.5044865
25.68220758,-100.4990757
25.68494968,-100.5041616
25.66416207,-100.4608963
25.66389897,-100.4623856
25.65901181,-100.4538939
25.6589187,-100.4543318
25.67139233,-100.4559446
25.68820381,-100.4253619
25.68641324,-100.4261681
25.68733897,-100.4269802
25.68667804,-100.4278618
25.6894206,-100.4439386
25.68806347,-100.445265
25.68917355,-100.4455837
25.69008754,-100.4466545
25.6922089,-100.4388969
25.69972811,-100.4430957
25.70053625,-100.446356
25.69665115,-100.4401836
25.69797726,-100.4420604
25.69427541,-100.4645577
25.68094452,-100.4864976
25.67593003,-100.4868946
25.68225786,-100.4878731
25.68233934,-100.4890049
25.67796886,-100.4895238
25.70313261,-100.5089062
25.7017545,-100.509556
25.70773077,-100.50801
25.68627008,-100.4344021
25.6861859,-100.4368758
25.68704414,-100.4368335
25.70863286,-100.4600471
25.70385601,-100.4588429
25.6832292,-100.442778
25.6816788,-100.446519
25.6862231,-100.4469903
25.682507,-100.44648
25.68187874,-100.4474434
25.68285757,-100.4439804
25.67075071,-100.4780967
25.67463859,-100.47368
25.70632974,-100.5030394
25.70221124,-100.5045293
25.70667151,-100.5022644
25.66883393,-100.4583549
25.66769732,-100.4613119
25.66729936,-100.4629007
25.67725457,-100.4675393
25.68340026,-100.4666737
25.67860133,-100.467656
25.68213355,-100.4681424
25.69469746,-100.4607501
25.69318321,-100.4246505
25.69329335,-100.4261064
25.69046133,-100.424724
25.69157819,-100.4274002
25.69179621,-100.4244844
25.66594558,-100.4340515
25.66840831,-100.4312832
25.66638058,-100.4319155
25.66400345,-100.4602682
25.6618605,-100.4613313
25.66109382,-100.4581323
25.672605,-100.4541722
25.67062179,-100.4563147
25.67344989,-100.4558216
25.68067981,-100.4946487
25.67713066,-100.494399
25.68075877,-100.496085
25.6828472,-100.4965544
25.69099119,-100.4481246
25.68917784,-100.4430988
25.69145263,-100.4447408
25.69054939,-100.4477802
25.68791445,-100.4452613
25.68534182,-100.4231493
25.68401541,-100.419682
25.68696684,-100.4228752
25.68339761,-100.4180071
25.68583645,-100.4217155
25.68219847,-100.41948
25.68728369,-100.4221333
25.695236,-100.4677441
25.69148837,-100.4598309
25.69196136,-100.4579292
25.69010905,-100.4599137
25.67700272,-100.4783821
25.67723021,-100.4805035
25.67856537,-100.4872049
25.70169669,-100.5084771
25.70535044,-100.51027
25.70585305,-100.510314
25.70832137,-100.5074504
25.69867406,-100.4540786
25.69655787,-100.4514216
25.69412766,-100.4455117
25.69689792,-100.4523329
25.69253267,-100.4397704
25.68627456,-100.4417483
25.69325873,-100.4300906
25.69325873,-100.4300906
25.68806577,-100.4313223
25.68806577,-100.4313223
25.69291902,-100.4303438
25.69291902,-100.4303438
25.68746246,-100.4312353
25.68746246,-100.4312353
25.68665639,-100.4313229
25.68665639,-100.4313229
25.70163977,-100.4602679
25.70163977,-100.4602679
25.70948854,-100.4613506
25.70948854,-100.4613506
25.70542346,-100.4613719
25.70542346,-100.4613719
25.70199216,-100.5022338
25.70199216,-100.5022338
25.70612966,-100.5005918
25.70612966,-100.5005918
25.70462055,-100.5014217
25.70462055,-100.5014217
25.7026338,-100.5052733
25.7026338,-100.5052733
25.67365307,-100.4747727
25.67365307,-100.4747727
25.68114453,-100.4280724
25.68114453,-100.4280724
25.67974743,-100.425207
25.67974743,-100.425207
25.67994842,-100.4284406
25.67994842,-100.4284406
25.6655168,-100.4341744
25.6738219,-100.4209335
25.6727639,-100.422621
25.66870386,-100.4320589
25.6732658,-100.422663
25.669186,-100.42558
25.6797686,-100.4201377
25.6796608,-100.4229015
25.69366954,-100.4208777
25.69366132,-100.4208481
25.689012,-100.4185244
25.69333203,-100.4207687
25.6881496,-100.4214478
25.69504049,-100.4580219
25.6960028,-100.4656119
25.6962056,-100.4635215
25.6805719,-100.4685608
25.6855547,-100.4661766
25.6796988,-100.468275
25.66836607,-100.4548714
25.66702294,-100.4533357
25.6710144,-100.4651557
25.6683864,-100.4665768
25.6677766,-100.4556499
25.67266061,-100.4534319
25.67186813,-100.4564191
25.67080466,-100.4567165
25.67153211,-100.4532913
25.67153137,-100.4586312
25.671345,-100.4559645
25.67259449,-100.4605413
25.66435619,-100.452807
25.66435701,-100.4537604
25.66349014,-100.4526505
25.67618792,-100.4949903
25.67982143,-100.49327
25.67547865,-100.4944027
25.68452629,-100.495034
25.67615381,-100.4936356
25.69310733,-100.4536136
25.69177269,-100.4542673
25.69500031,-100.4532614
25.6925738,-100.4529404
25.68578786,-100.4253185
25.67189525,-100.456397
25.68977524,-100.4375375
25.68727765,-100.4415617
25.68701393,-100.4407251
25.68688159,-100.4417634
25.69740522,-100.4465545
25.70192763,-100.4523762
25.69701502,-100.4482848
25.69634658,-100.4476277
25.70061948,-100.4549614
25.69882945,-100.4554154
25.6912806,-100.4574199
25.68980332,-100.4574076
25.68950995,-100.4617084
25.68782764,-100.4559635
25.68964245,-100.4589303
25.69039497,-100.4613002
25.67950304,-100.4858376
25.68318276,-100.4923827
25.68306199,-100.4943623
25.68211967,-100.493301
25.70343497,-100.5079823
25.7064522,-100.5045347
25.70307925,-100.5077858
25.70718755,-100.5094146
25.7032346,-100.5054852
25.6802387,-100.4257555
25.68023817,-100.4284945
25.68029161,-100.4262694
25.67972491,-100.4288262
25.68150215,-100.4324379
25.67920239,-100.4303324
25.67877693,-100.4298762
25.68800483,-100.4365305
25.687417,-100.4314473
25.68740899,-100.4364476
25.68695279,-100.4308216
25.68994365,-100.4340905
25.68710322,-100.4357217
25.68673367,-100.4349609
25.69102209,-100.4357559
25.70189979,-100.4614155
25.70268519,-100.4605957
25.70389382,-100.4598808
25.70505196,-100.4591641
25.70107159,-100.459558
25.7023258,-100.4586263
25.70176348,-100.4580668
25.67647261,-100.479404
25.67496153,-100.4741369
25.67505889,-100.4790345
25.69345669,-100.4999865
25.70142636,-100.503281
25.69430541,-100.496721
25.70296019,-100.5035506
25.67250078,-100.4535563
25.67085693,-100.4534503
25.65898156,-100.4534727
25.66148339,-100.4614282
25.66244443,-100.458755
25.66368287,-100.4628431
25.66354715,-100.4623161
25.66086589,-100.4605564
25.66118798,-100.458573
25.66079611,-100.4595889
25.66459994,-100.4632717
25.67769301,-100.4939091
25.68064938,-100.4944875
25.67830739,-100.4971468
25.67648487,-100.4957282
25.68847289,-100.4448234
25.6915163,-100.4434129
25.68860375,-100.445096
25.69197343,-100.4456436
25.68785718,-100.4441723
25.68677332,-100.4445
25.68400165,-100.4201226
25.68426865,-100.4223639
25.68662157,-100.4215709
25.68750559,-100.4232096
25.68252673,-100.4189347
25.68234555,-100.4202656
25.69130656,-100.460309
25.69095824,-100.4574785
25.69514136,-100.4664257
25.67452393,-100.4818226
25.67678039,-100.4815368
25.67389333,-100.4800256
25.67616708,-100.479883
25.67736224,-100.4796207
25.70550856,-100.5101966
25.70306085,-100.5075817
25.70252406,-100.5097762
25.7037999,-100.5079063
25.70581043,-100.5080069
25.69716578,-100.4424825
25.69771262,-100.4429358
25.6987059,-100.4424382
25.6985484,-100.4503158
25.69811211,-100.4418025
25.69851379,-100.4332489
25.68993724,-100.4378885
25.69245317,-100.4372607
25.6819481,-100.4481406
25.68418363,-100.4449352
25.68619891,-100.4475183
25.68575151,-100.4479716
25.68447231,-100.4471932
25.68500369,-100.4480016
25.68636156,-100.4484764
25.68817894,-100.4350868
25.6861471,-100.4307713
25.69526849,-100.4280805
25.687439,-100.431825
25.69673922,-100.4284992
25.69595533,-100.4291705
25.69265008,-100.4346436
25.69713878,-100.4309532
25.70501959,-100.4627983
25.70951737,-100.4602733
25.6934841,-100.4987283
25.69502815,-100.5000823
25.69294352,-100.4898466
25.69483498,-100.4976304
25.69342552,-100.4917136
25.6720205,-100.4775466
25.67463478,-100.4736996
25.67565796,-100.4768758
25.6696185,-100.4311439
25.6695163,-100.4285073
25.667877,-100.4327365
25.67913555,-100.4210163
25.6693981,-100.4307171
25.67949001,-100.4196311
25.69000501,-100.4215691
25.68805085,-100.4174972
25.68910743,-100.4217086
25.68881414,-100.4170686
25.6963047,-100.4651672
25.69751298,-100.4652619
25.6974417,-100.4634581
25.6979335,-100.4636448
25.69851982,-100.4666133
25.70107342,-100.466263
25.66715785,-100.46272
25.66652473,-100.4636189
25.66571923,-100.466621
25.67801471,-100.468697
25.6801594,-100.4696577
25.67770765,-100.4661332
25.67719627,-100.4670086
25.68481105,-100.4962634
25.68626952,-100.4956086
25.6917916,-100.4480021
25.69062738,-100.4497446
25.68907668,-100.4493677
25.6883391,-100.4492603
25.6928135,-100.4481372
25.6922541,-100.4493149
25.69125879,-100.4477653
25.6878432,-100.4471686
25.67222329,-100.4592435
25.6733697,-100.4540273
25.67142367,-100.454789
25.67229354,-100.4613242
25.66233414,-100.4616672
25.6594416,-100.4541078
25.66148106,-100.4582616
25.66373354,-100.4613715
25.6866606,-100.4281208
25.6859191,-100.4287402
25.68464685,-100.424981
25.68467331,-100.4224604
25.68463329,-100.4286982
25.68810158,-100.4375393
25.68568978,-100.4425587
25.68654536,-100.4439857
25.68671266,-100.4423744
25.69436805,-100.4472432
25.68867239,-100.4425067
25.69436805,-100.4472432
25.69618334,-100.4482381
25.69829671,-100.4548211
25.67898625,-100.4623914
25.67829171,-100.4630889
25.67780677,-100.4898941
25.68929657,-100.4670935
25.68974211,-100.467515
25.6808436,-100.4858525
25.6805982,-100.4852806
25.67712573,-100.4897219
25.68169656,-100.4884679
25.68091217,-100.487439
25.68020399,-100.4892671
25.70839558,-100.5070745
25.70624853,-100.510437
25.70721341,-100.5117233
25.68328263,-100.4672944
25.69655025,-100.4549972
25.69585929,-100.455991
25.68984872,-100.4226227
25.68970911,-100.4219418
25.66722493,-100.4610375
25.66979675,-100.4653215
25.66838809,-100.4639872
25.66914431,-100.4663455
25.67695758,-100.4731036
25.67741989,-100.4736564
25.67872262,-100.4673538
25.6780179,-100.4668712
25.69521139,-100.4609279
25.69634489,-100.4595243
25.6955357,-100.455839
